crown;Crown Equipment Corporation;generic
crs;Federated Co-operatives Limited;generic
cruise;Viking River Cruises (Bermuda) Ltd.;generic
cruises;Binky Moon, LLC;generic
csc;Alliance-One Services, Inc.;generic
cuisinella;SALM S.A.S.;generic
cymru;Nominet UK;generic
cyou;Beijing Gamease Age Digital Technology Co., Ltd.;generic
dabur;Dabur India Limited;generic
dad;Charleston Road Registry Inc.;generic
dance;United TLD Holdco Ltd.;generic
data;Dish DBS Corporation;generic
date;dot Date Limited;generic
dating;Binky Moon, LLC;generic
datsun;NISSAN MOTOR CO., LTD.;generic
day;Charleston Road Registry Inc.;generic
dclk;Charleston Road Registry Inc.;generic
dds;Minds + Machines Group Limited;generic
deal;Amazon Registry Services, Inc.;generic
dealer;Dealer Dot Com, Inc.;generic
deals;Binky Moon, LLC;generic
degree;United TLD Holdco, Ltd;generic
delivery;Binky Moon, LLC;generic
dell;Dell Inc.;generic
deloitte;Deloitte Touche Tohmatsu;generic
delta;Delta Air Lines, Inc.;generic
democrat;United TLD Holdco Ltd.;generic
dental;Binky Moon, LLC;generic
dentist;United TLD Holdco, Ltd;generic
desi;Desi Networks LLC;generic
design;Top Level Design, LLC;generic
dev;Charleston Road Registry Inc.;generic
dhl;Deutsche Post AG;generic
diamonds;Binky Moon, LLC;generic
diet;Uniregistry, Corp.;generic
digital;Binky Moon, LLC;generic
direct;Binky Moon, LLC;generic
directory;Binky Moon, LLC;generic
discount;Binky Moon, LLC;generic
discover;Discover Financial Services;generic
dish;Dish DBS Corporation;generic
diy;Lifestyle Domain Holdings, Inc.;generic
dnp;Dai Nippon Printing Co., Ltd.;generic
docs;Charleston Road Registry Inc.;generic
doctor;Binky Moon, LLC;generic
dodge;FCA US LLC.;generic
dog;Binky Moon, LLC;generic
doha;Communications Regulatory Authority (CRA);generic
domains;Binky Moon, LLC;generic
doosan;Retired;generic
dot;Dish DBS Corporation;generic
download;dot Support Limited;generic
drive;Charleston Road Registry Inc.;generic
dtv;Dish DBS Corporation;generic
dubai;Dubai Smart Government Department;generic
duck;Johnson Shareholdings, Inc.;generic
dunlop;The Goodyear Tire & Rubber Company;generic
duns;The Dun & Bradstreet Corporation;generic
dupont;E. I. du Pont de Nemours and Company;generic
durban;ZA Central Registry NPC trading as ZA Central Registry;generic
dvag;Deutsche Vermögensberatung Aktiengesellschaft DVAG;generic
dvr;Hughes Satellite Systems Corporation;generic
earth;Interlink Co., Ltd.;generic
eat;Charleston Road Registry Inc.;generic
eco;Big Room Inc.;generic
edeka;EDEKA Verband kaufmännischer Genossenschaften e.V.;generic
education;Binky Moon, LLC;generic
email;Binky Moon, LLC;generic
emerck;Merck KGaA;generic
energy;Binky Moon, LLC;generic
engineer;United TLD Holdco Ltd.;generic
engineering;Binky Moon, LLC;generic
enterprises;Binky Moon, LLC;generic
epost;Deutsche Post AG;generic
epson;Seiko Epson Corporation;generic
equipment;Binky Moon, LLC;generic
ericsson;Telefonaktiebolaget L M Ericsson;generic
erni;ERNI Group Holding AG;generic
esq;Charleston Road Registry Inc.;generic
estate;Binky Moon, LLC;generic
esurance;Esurance Insurance Company;generic
etisalat;Emirates Telecommunications Corporation (trading as Etisalat);generic
eurovision;European Broadcasting Union (EBU);generic
eus;Puntueus Fundazioa;generic
events;Binky Moon, LLC;generic
everbank;EverBank;generic
exchange;Binky Moon, LLC;generic
expert;Binky Moon, LLC;generic
exposed;Binky Moon, LLC;generic
express;Binky Moon, LLC;generic
extraspace;Extra Space Storage LLC;generic
fage;Fage International S.A.;generic
fail;Binky Moon, LLC;generic
fairwinds;FairWinds Partners, LLC;generic
faith;dot Faith Limited;generic
family;United TLD Holdco Ltd.;generic
fan;Asiamix Digital Ltd;generic
fans;Asiamix Digital Limited;generic
farm;Binky Moon, LLC;generic
farmers;Farmers Insurance Exchange;generic
fashion;Top Level Domain Holdings Limited;generic
fast;Amazon Registry Services, Inc.;generic
fedex;Federal Express Corporation;generic
feedback;Top Level Spectrum, Inc.;generic
ferrari;Fiat Chrysler Automobiles N.V.;generic
ferrero;Ferrero Trading Lux S.A.;generic
fiat;Fiat Chrysler Automobiles N.V.;generic
fidelity;Fidelity Brokerage Services LLC;generic
